N,P,K,pH,Crop
80,40,40,5.5,rice
80,40,20,5.5,maize
40,60,80,5.5,chickpea
20,60,20,5.5,kidneybeans
20,60,20,5.5,pigeonpeas
20,40,20,5.5,mothbeans
20,40,20,5.5,mungbean
40,60,20,5,blackgram
20,60,20,5.5,lentil
20,10,40,5.5,pomegranate
100,75,50,6.5,banana
20,20,30,5,mango
20,125,200,4,grapes
100,10,50,5.5,watermelon
100,10,50,5.5,muskmelon
20,125,200,6.5,apple
20,10,10,4,orange
50,50,50,6,papaya
20,10,30,5,coconut
120,40,20,5.5,cotton
80,40,40,5.5,jute
100,20,30,5.5,coffee
208,53,280,5,sugarcane
150,20,50,4,tobacco
120,50,30,5,paddy
60,30,20,5.5,barley
80,40,40,5,wheat
90,40,40,5.5,millets
100,50,30,5,oil seeds


